congress,session,chamber,period,total_votes,missed_votes,percent,percentile,period_start,period_end,pctile25,pctile50,pctile75,pctile90
111,2009,h,0,174,3,1.72413793103,43.1654676259,2009-01-06,2009-03-31,0.574712643678,1.72413793103,4.02298850575,7.64367816092
111,2009,h,1,303,1,0.3300330033,8.27338129496,2009-04-01,2009-06-26,0.742574257426,2.3102310231,4.2904290429,7.59075907591
111,2009,h,2,268,0,0.0,0.0,2009-07-07,2009-09-30,0.746268656716,1.49253731343,3.35820895522,7.08955223881
111,2009,h,3,246,11,4.47154471545,70.8185053381,2009-10-01,2009-12-16,0.813008130081,2.43902439024,4.87804878049,9.34959349593
111,2010,h,0,195,17,8.71794871795,86.4768683274,2010-01-12,2010-03-25,1.02564102564,2.5641025641,5.64102564103,9.23076923077
111,2010,h,1,219,1,0.456621004566,11.6607773852,2010-04-13,2010-06-30,0.913242009132,2.28310502283,5.02283105023,9.04109589041
111,2010,h,2,151,4,2.64900662252,54.0636042403,2010-07-01,2010-09-30,0.662251655629,1.98675496689,4.6357615894,8.60927152318
111,2010,h,3,99,20,20.202020202,92.9824561404,2010-11-15,2010-12-22,1.0101010101,3.0303030303,8.08080808081,14.7474747475
113,2013,h,0,72,16,22.2222222222,96.5357967667,2013-01-03,2013-03-14,0.0,1.38888888889,4.16666666667,8.33333333333
lifetime,,h,,1727,73,4.22698320787,78.0600461894,2009-01-06,2013-03-14,1.02373969343,2.13092724131,3.98429978523,5.86552104074
